Bug ID,Version,File,Priority
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplAcrossInstancesWithJsonMessageFormat.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplIncrementalLoadAcidTablesWithJsonMessage.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplWithJsonMessageFormat.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenarios.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosAcidTables.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosAcrossInstances.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosIncrementalLoadAcidTables.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/WarehouseInstance.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/cache/results/QueryResultsCache.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplDumpTask.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/LoadConstraint.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AbortTxnHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AbstractConstraintEventHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AbstractEventHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddForeignKeyHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddNotNullConstraintHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddPartitionHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddPrimaryKeyHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddUniqueConstraintHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AllocWriteIdHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterDatabaseHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterPartitionHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterTableHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/CommitTxnHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/CreateDatabaseHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/CreateFunctionHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/CreateTableHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DefaultHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DropConstraintHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DropDatabaseHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DropFunctionHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DropPartitionHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/DropTableHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/EventHandlerFactory.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/InsertHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/OpenTxnHandler.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/io/ConstraintsSerializer.java,Major
HIVE-20679,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/AbstractMessageHandler.java,Major
HIVE-20679,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/parse/repl/dump/events/TestEventHandlerFactory.java,Major
HIVE-20679,3.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,Major
